,question_id,corpus_id
0,0637bf82c8b290c7875c5bfddbf91df5,47/2011/tt-bca_7
1,ade2b2ee4f5b869f75f0d183902382af,41/2020/tt-bca_11
2,8fa164edc7a8419cd7dc9ce66d8e695a,159/2020/nđ-cp_13
3,3aed91309b72097b34427dd28bebd98a,53/2010/qh12_60
4,3aed91309b72097b34427dd28bebd98a,82/2011/nđ-cp_9
5,fe9131a8862ce1bfa7de7e2b30eeb39e,63/2020/nđ-cp_20
6,fe7d15e338c05614d38d9556be8ce471,96/2020/nđ-cp_10
7,1855347ecd4f61d170666c5b41ece651,82/2018/nđ-cp_34
8,240939c7783a252ad86868d87bc8df66,08/2020/nđ-cp_32
9,6dad9db28cb42a53e8411dcc1984fab5,100/2019/nđ-cp_12
10,62cd1ee8dfdfac0282be39f7f1f91ed9,63/2014/nđ-cp_2
11,814b728ce9be7976326e901b2dc1fc29,04/2021/nđ-cp_8
12,ba57f2102089863dfb15d06deef36b46,11/2017/qh14_28
13,268afbc1f6756c6ef1f37f66f5fb85bd,100/2019/nđ-cp_5
14,9736925e0ad46ce0c21c450306242470,118/2015/nđ-cp_16
15,d1d30b6284025f07b0d5ad903e190d96,35/2018/tt-byt_2
16,a2f553155f431f0a670bcf065602cd85,15/2019/qđ-ttg_9
17,64b58e06a31b9454657adf45979f76a7,19/2018/tt-bct_35
18,cb6736f4053e104d20b7461e4cbeef54,49/2018/tt-btc_2
19,b4053b5250f6c3f1a5b0dc55a871da5b,14/2014/tt-blđtbxh_9
20,c804e2167d432345685b75528fad3d8c,15/2019/tt-bqp_25
21,e364a1a1706a82ecc0f0e92c12a83155,76/2018/nđ-cp_35
22,5dd91feecb94becb0cb99135a2d24b27,32/2019/nđ-cp_8
23,1ecb4502c1bbe3df971b66232ab7c54c,91/2018/nđ-cp_33
24,be9602f8726f4c7c53d6deec6b527e3e,69/2018/nđ-cp_40
25,ff93257a565438213b0bc5854081526e,05/2021/nđ-cp_19
26,44bccd86887689e574ea4f5af291f456,15/2020/nđ-cp_76
27,f87702426ad2b6cdd1080b21d4a03842,11/2019/tt-bct_9
28,1f84c3dcf0765909a04a28b66b1c6f46,194/2016/tt-btc_2
29,94c803d8c00a6894b127982bb4cd2fc6,100/2019/nđ-cp_6
30,7bec02896fdcfea9dddff6b1e9f57657,63/2019/nđ-cp_36
31,d31965e2028a872203dba6b5754015d5,45/2017/tt-byt_18
32,95124afaac121ea23889bf825e35c357,02/2012/ttlt-bca-bqp-btp-bgdđt_9
33,cb3e1553d67dc4c6c92121136f0a23ae,91/2015/qh13_321
34,d64cc7892abd1dfbc3570bf8b0ef3207,167/2013/nđ-cp_57
35,cb5085605a53c6b7e92eeed195e830d6,98/2020/nđ-cp_4
36,cb5085605a53c6b7e92eeed195e830d6,98/2020/nđ-cp_30
37,cacc4eb5dd30f76dd79b62d73a655d25,70/2018/nđ-cp_3
38,44c0dfe02bf7278c8414500bb0685d9b,59/2020/qh14_206
39,22c0eb519696248500086ea33857f814,37/2010/tt-byt_23
40,87291c577270900c4b7e0e5abdaaf49f,09/2021/nđ-cp_10
41,c7ed24980b4e05ba40cc6d57f7f3f50c,15/2020/nđ-cp_20
42,e02885a494f3b949aa80335928d5bb98,167/2013/nđ-cp_5
43,92de66681a3dbcb6e59b5be351faa3b3,100/2019/nđ-cp_5
44,eaf468d1ff7602dcc924cb198c4eb6ac,100/2019/nđ-cp_6
45,543d44236fbe928874de231b567a3bea,100/2019/nđ-cp_72
46,e492714e89c323c3da653b430dac254d,41/2019/qh14_89
47,7fd3da22184cc99f8a48d591f7663d5d,18/2019/nđ-cp_11
48,84132688a3df1e10489892ecd460e415,100/2019/nđ-cp_5
49,51c445eb66cac7c8ad0229cecbfa2431,20/2018/qđ-ttg_4
50,79d903f40d55b64088209f91d97b0692,36/2014/tt-bnnptnt_7
51,999cd070859def6727de1522a575a5f4,62/2014/qh13_74
52,8ca4c28e2e8fdb442815f7b6cb7558cb,03/2020/tt-bgdđt_5
53,87da73f990afcf895808719b6c9bb4b1,155/2020/nđ-cp_299
54,c3751118de4c0645cf54a49a10521a38,28/2020/nđ-cp_26
55,a4ec8d920061899212faf9f2f22bd6a9,04/2017/tt-btnmt_3
56,0323a9f1837bd4c4ce1c913825cbdf2e,08/2020/nđ-cp_28
57,14034b5b7ee28cebd2709d7dd51b8815,100/2019/nđ-cp_34
58,af65689026111bd36b904c06521839aa,03/2020/tt-bgtvt_53
59,06c5f6e00e04dce47b0369e5b7af6881,04/2021/nđ-cp_11
60,f6991176c2053aabdd38eb7be417f5e4,17/2017/tt-bkhcn_24
61,0abd5737f4a5eeeabab49710b4a8d056,100/2019/nđ-cp_20
62,f6acb6878f8f4de01299131fe160206b,08/2021/nđ-cp_5
63,7a9bca6a641be44c73d4ec2b1a73195d,98/2020/nđ-cp_4
64,7a9bca6a641be44c73d4ec2b1a73195d,98/2020/nđ-cp_23
65,50541f81347a9e2d49bfa5f7c029d16d,91/2015/qh13_174
66,4aca1049925abfba9a0a0aab8ec19293,25/2020/tt-bgdđt_13
67,8da9ed1414053a05fa8cc3215a035f07,03/2020/qđ-ttg_34
68,da19345a373f96e2e9e80494c43e3827,155/2020/nđ-cp_87
69,e2856e1c645e5713fd898491931843be,21/2014/tt-bkhcn_3
70,d5b7e7e419e62b8ac43a4dffe05d1348,138/2020/nđ-cp_46
71,bb5e603923cf3017b915b38734569567,155/2020/nđ-cp_46
72,6e62ba53db9056fe529858d8a7a01820,100/2019/nđ-cp_76
73,d97142b6fdb9f07251f43cac696b9df3,100/2019/nđ-cp_5
74,21cc9c5aeee7ae5188fafe6d2409ed48,52/2014/qh13_96
75,1c948c661478db33f4c188e1a3fda0fa,35/2019/nđ-cp_7
76,2deb73d41a59d754d751957ab6daee8d,160/2007/nđ-cp_2
77,2deb73d41a59d754d751957ab6daee8d,29/2016/nđ-cp_1
78,a67a1f461b8783b20836ff8b15b5b73e,91/2015/qh13_141
79,66fcdfaa8575421588ff7560aacf37c6,35/2019/nđ-cp_10
80,2297476383fbf207599a436fb6f15efa,100/2019/nđ-cp_16
81,10d0733adeb5efa9ba239855df7f40b8,40/2009/qh12_24
82,b9154b2d84c535c87426ee27208663a1,16/2020/tt-bqp_38
83,e24593f36d4b84a18196aff128710299,54/2019/qh14_86
84,e9625ea43f977518b76a88567ee82514,06/2019/nđ-cp_3
85,e70faf39a18707bbd53629415ed9f8e2,65/2014/tt-bqp_3
86,8984b486118b860d138d6750c7c7164a,89/2018/nđ-cp_13
87,bbcda742ec895752d07cdfc46d5f42db,02/2019/tt-btp_10
88,ff8d04f95ab0468c693efd87902d591a,160/2007/nđ-cp_6
89,ff8d04f95ab0468c693efd87902d591a,29/2016/nđ-cp_1
90,012741708a3764783fdfc3379b87687b,45/2015/nđ-cp_28
91,48ee6a41449f955d7870689c705a8d77,51/2014/qh13_111
92,08214959db7ae07b389c7786638a3bbf,117/2020/nđ-cp_38
93,cd9dc1f755e356f84a6a249ef163bae7,15/2019/tt-byt_41
94,f0a1a7332595ca349d4efc34bfec9aab,06/2019/nđ-cp_7
95,6814795d6febbf7fbf43b5f9b16c8de8,88/2019/nđ-cp_31
96,7acee3457b2bd77c0d9587c8051e2211,20/2012/qh13_1
97,2b59a9371f4357a26234175b21064a42,19/2020/qđ-ttg_11
98,79b7fd69eb0aefb615c518a2e0f337e0,51/2014/qh13_5
99,3be0c8413d604ddaa1f78b881a934cd7,66/2019/nđ-cp_18
100,6c90b4c288929236428ddfde1fb3fc07,167/2013/nđ-cp_67
101,b1df362cbeed7b7d7cab8d73676388cf,46/2019/nđ-cp_5
102,cb82d40effc5183b49443259d65e882d,100/2019/nđ-cp_15
103,0505153dea92f19f37303158f968fb90,59/2020/qh14_47
104,8c1f5d585edc79551330a9ba1c7e3f38,100/2019/nđ-cp_32
105,9ce7a44cbeef20127aa0877efec2b0b0,100/2019/nđ-cp_20
106,d5e2d6636018826f9f6ee2f26274fecd,42/2019/nđ-cp_37
